ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
6 70 109 4 1.7142857142857142 '01211230013130221010 '000000000000004000000000000000a00000000000000050000000000000002c00000000000000100000000000000010
6 123 110 4 1.7142857142857142 '00002101120122132222 '000000000000004800000000000000840000000000000008000000000000000400000000000000a00000000000000050
6 15 111 4 2.0 '12230430004111100010 '000000000000000800000000000000100000000000000010000000000000006800000000000000940000000000000008
6 19 112 4 2.0 '13310430004111100010 '000000000000000800000000000000100000000000000018000000000000006400000000000000a00000000000000010
6 95 113 4 2.0 '00130433014111100010 '000000000000006000000000000000800000000000000098000000000000002400000000000000200000000000000010
6 111 114 4 2.0 '00003131111140242000 '000000000000000800000000000000240000000000000040000000000000000800000000000000940000000000000048
6 43 115 4 2.1818181818181817 '12103130100040242000 '000000000000004000000000000000880000000000000010000000000000002c00000000000000500000000000000010
6 61 116 4 2.1818181818181817 '01340430004111100010 '000000000000000800000000000000100000000000000014000000000000006800000000000000900000000000000020
6 84 117 4 2.1818181818181817 '03100130004140210031 '000000000000004000000000000000b80000000000000040000000000000004000000000000000440000000000000008
6 44 118 4 2.4 '22003130100040242000 '000000000000004000000000000000880000000000000010000000000000002800000000000000540000000000000008
6 9 119 5 1.875 '11332431114210011010 '0000000000000010000000000000000c000000000000001000000000000000a800000000000000500000000000000040
6 17 120 5 1.875 '22221431214210011010 '000000000000000c00000000000000100000000000000018000000000000006000000000000000a00000000000000080
6 46 121 5 2.0 '12201211112150352000 '000000000000004000000000000000b00000000000000040000000000000004400000000000000040000000000000018
6 87 122 5 2.0 '01130440014121021131 '000000000000004000000000000000b00000000000000044000000000000004000000000000000040000000000000028
6 21 123 5 2.142857142857143 '22103330222320220010 '000000000000006000000000000000840000000000000080000000000000000c00000000000000100000000000000050
6 119 124 5 2.142857142857143 '00002213310313223310 '000000000000001000000000000000240000000000000048000000000000008800000000000000300000000000000040
6 51 125 5 2.5 '11031040003050332031 '000000000000004000000000000000a00000000000000058000000000000002400000000000000200000000000000010
6 107 126 5 2.5 '00003321212150352000 '000000000000000800000000000000240000000000000040000000000000000c00000000000000900000000000000050
6 30 127 6 2.0 '21213312231302222220 '000000000000006000000000000000940000000000000080000000000000004800000000000000100000000000000040
6 79 128 6 2.0 '01221442224220111131 '000000000000006000000000000000840000000000000098000000000000002000000000000000200000000000000040
