ordre id_c id_t nb_occurrence taux_recouvrement recouvrement taux_occupation certificat
5 9 1 1 1.0 '0100000001000000001001000100000000000 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000840000000000000008c0000000000000780000000000000008070000000000000238
5 15 2 1 1.0 '0100000000000000001001000101000000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000010e0000000000803800000000000000c40100000000000006e0
5 16 3 1 1.0 '0100000000000000001001000001010000000 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000070000000000000000e000000000000c6010000000000003d00
5 19 4 1 1.0 '0100000000000000001001000100010000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000e000000000000c401000000000040380000000000000006e0
5 20 5 1 1.0 '0100000000000000001011000100000000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000c0010000000000003c00000000000000041c00000000000003e0
5 25 6 1 1.0 '0100000000000000001000000001100001000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000c0010000000000003a00000000000000021c00000000000005e0
5 26 7 1 1.0 '0100000000000000000011000100010000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000c00100000000000002e00000000000003d00000000000080021c
5 28 8 1 1.0 '0100000100000000000001000100010000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000004080000000000000007000000000000e10000000000000014e0
5 32 9 1 1.0 '0100010000000000000001000101000000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000004800000000000000238000000000000e1000000000000001007
5 33 10 1 1.0 '0100000000000000000001000101100000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000c0010000000000803800000000000000041c00000000000003e0
5 34 11 1 1.0 '0100100100000000000001000000010000000 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000088000000000000002008000000000000000700000000000048e0
5 35 12 1 1.0 '0100100000000000000001000000010000100 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000001000000000000e200000000000000081c00000000000014e0
5 36 13 1 1.0 '0001001000000011000100000000000000000 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002010000000000000400c0000000000000803000000000000940000000000000040e0
5 37 14 1 1.0 '0000100100001000010000000000000000100 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010100000000000004802000000000000c001000000000000200c00000000000020e0
5 38 15 1 1.0 '0000100100000000010000000000010000100 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004800000000000006800000000000000100c00000000000082030000000000001070
5 39 16 1 1.0 '0000100100000000010000010000000000100 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000800000000000000064000000000000000007000000000000101800000000000018e0
5 40 17 1 1.0 '0000100100001000010000000000010000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e00000000000000403000000000000080c000000000000d0000000000000002810
5 42 18 1 1.0 '0000100100000000010010000000010000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000210000000000000000e0000000000006400000000000000880100000000000010e0
5 43 19 1 1.0 '0000100100000000010001000000010000000 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010000000000000000e0000000000006400000000000000880100000000000010e0
5 44 20 1 1.0 '0000100100001000000000000000010000100 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010800000000000000a020000000000001060000000000000e001000000000000041c
5 46 21 1 1.0 '0000100100001000000000010000000000100 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010040000000000000402000000000000c001000000000000101800000000000028e0
5 47 22 1 1.0 '0000100100000000000010000000010000100 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021000000000000001010000000000000000e000000000000c80100000000000006e0
5 48 23 1 1.0 '0000100100000000000001000000010000100 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004010000000000001010000000000000e100000000000000040e00000000000008e0
5 49 24 1 1.0 '0000100100000000000000010000010000100 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080800000000000002100000000000000007000000000000e10000000000000014e0
5 50 25 1 1.0 '0000100100000000000000011000000000100 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010080000000000000007000000000000e4000000000000000ce0
